ad_date,campaign_id,campaign_name,channel,platform,impressions,clicks,spend_usd,source_updated_at
2026-01-01,PS_BRAND,Brand Search,Paid Search,Google Ads,4340,334,414.59,2026-01-02 06:00:00
2026-01-01,PS_GENERIC,Generic Search,Paid Search,Google Ads,6556,266,649.26,2026-01-02 06:00:00
2026-01-01,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2690,83,246.8,2026-01-02 06:00:00
2026-01-01,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8287,120,191.11,2026-01-02 06:00:00
2026-01-02,PS_BRAND,Brand Search,Paid Search,Google Ads,4143,316,427.18,2026-01-03 06:00:00
2026-01-02,PS_GENERIC,Generic Search,Paid Search,Google Ads,7847,345,833.42,2026-01-03 06:00:00
2026-01-02,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2857,86,229.24,2026-01-03 06:00:00
2026-01-02,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,9917,135,241.44,2026-01-03 06:00:00
2026-01-03,PS_BRAND,Brand Search,Paid Search,Google Ads,3711,319,394.56,2026-01-04 06:00:00
2026-01-03,PS_GENERIC,Generic Search,Paid Search,Google Ads,5099,213,484.67,2026-01-04 06:00:00
2026-01-03,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2291,86,210.45,2026-01-04 06:00:00
2026-01-03,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,6878,102,167.24,2026-01-04 06:00:00
2026-01-04,PS_BRAND,Brand Search,Paid Search,Google Ads,3349,238,311.68,2026-01-05 06:00:00
2026-01-04,PS_GENERIC,Generic Search,Paid Search,Google Ads,5367,193,476.94,2026-01-05 06:00:00
2026-01-04,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2364,78,219.29,2026-01-05 06:00:00
2026-01-04,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7632,112,194.46,2026-01-05 06:00:00
2026-01-05,PS_BRAND,Brand Search,Paid Search,Google Ads,4309,372,476.24,2026-01-06 06:00:00
2026-01-05,PS_GENERIC,Generic Search,Paid Search,Google Ads,7634,307,691.09,2026-01-06 06:00:00
2026-01-05,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2231,66,196.4,2026-01-06 06:00:00
2026-01-05,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8841,119,217.9,2026-01-06 06:00:00
2026-01-06,PS_BRAND,Brand Search,Paid Search,Google Ads,5289,415,592.39,2026-01-07 06:00:00
2026-01-06,PS_GENERIC,Generic Search,Paid Search,Google Ads,7123,314,705.0,2026-01-07 06:00:00
2026-01-06,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,3379,135,374.96,2026-01-07 06:00:00
2026-01-06,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,9507,132,233.82,2026-01-07 06:00:00
2026-01-07,PS_BRAND,Brand Search,Paid Search,Google Ads,4750,409,561.58,2026-01-08 06:00:00
2026-01-07,PS_GENERIC,Generic Search,Paid Search,Google Ads,7915,342,912.35,2026-01-08 06:00:00
2026-01-07,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,3079,82,224.71,2026-01-08 06:00:00
2026-01-07,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,9556,142,236.91,2026-01-08 06:00:00
2026-01-08,PS_BRAND,Brand Search,Paid Search,Google Ads,5043,372,523.23,2026-01-09 06:00:00
2026-01-08,PS_GENERIC,Generic Search,Paid Search,Google Ads,7354,338,851.85,2026-01-09 06:00:00
2026-01-08,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,3392,120,327.01,2026-01-09 06:00:00
2026-01-08,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,8754,109,182.97,2026-01-09 06:00:00
2026-01-09,PS_BRAND,Brand Search,Paid Search,Google Ads,4762,362,493.17,2026-01-10 06:00:00
2026-01-09,PS_GENERIC,Generic Search,Paid Search,Google Ads,6089,226,573.27,2026-01-10 06:00:00
2026-01-09,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2670,93,265.63,2026-01-10 06:00:00
2026-01-09,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,7528,98,162.19,2026-01-10 06:00:00
2026-01-10,PS_BRAND,Brand Search,Paid Search,Google Ads,4059,328,413.47,2026-01-11 06:00:00
2026-01-10,PS_GENERIC,Generic Search,Paid Search,Google Ads,5904,214,528.82,2026-01-11 06:00:00
2026-01-10,PS_COMPETITOR,Competitor Search,Paid Search,Microsoft Ads,2441,79,220.04,2026-01-11 06:00:00
2026-01-10,PAID_SOCIAL,Prospecting Social,Paid Social,Meta Ads,6137,73,132.74,2026-01-11 06:00:00
2026-01-11,PS_BRAND,Brand Search,Paid Search,Google Ads,4289,315,412.01,2026-01-12 06:00:00
2026-01-11,PS_GENERIC,Generic Search,Paid Search,Google Ads,6418,259,664.76,2026-01-12 06:00:00
