billing_event_id,subscription_id,event_ts,event_type,billing_cycle_number,event_status,gross_amount_usd,discount_amount_usd,refund_amount_usd,chargeback_amount_usd,net_amount_usd,source_updated_at
bill_00000001,sub_0015830,2026-01-08 07:32:35,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000004,sub_0000002,2026-01-08 08:29:20,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000011,sub_0000038,2026-01-08 08:42:22,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000016,sub_0000005,2026-01-08 08:56:16,charge,1.0,failed,34.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000017,sub_0015829,2026-01-08 09:08:11,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-09 06:00:00
bill_00000018,sub_0000021,2026-01-08 09:17:20,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000019,sub_0000030,2026-01-08 09:26:06,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-09 06:00:00
bill_00000025,sub_0000037,2026-01-08 09:35:23,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-09 06:00:00
bill_00000032,sub_0015831,2026-01-08 09:41:33,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
bill_00000033,sub_0000012,2026-01-08 09:52:18,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000037,sub_0000022,2026-01-08 09:59:36,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000039,sub_0000050,2026-01-08 10:04:10,charge,1.0,succeeded,34.95,0.0,0.0,0.0,34.95,2026-01-09 06:00:00
bill_00000041,sub_0000041,2026-01-08 10:33:09,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000046,sub_0000076,2026-01-08 10:34:02,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000048,sub_0000036,2026-01-08 10:45:16,charge,1.0,succeeded,24.95,0.0,0.0,0.0,24.95,2026-01-09 06:00:00
bill_00000051,sub_0000073,2026-01-08 11:03:29,charge,1.0,succeeded,24.95,2.5,0.0,0.0,22.45,2026-01-09 06:00:00
bill_00000054,sub_0000063,2026-01-08 12:11:40,charge,1.0,failed,24.95,0.0,0.0,0.0,0.0,2026-01-09 06:00:00
