subscription_id,customer_id,visitor_id,trial_start_ts,paid_start_ts,plan_name,monthly_price_usd,signup_campaign_id,signup_device_category,signup_landing_page,cancel_ts,cancel_reason,source_updated_at
sub_0015830,cus_0015830,vis_00135897,2026-01-01 07:32:35,2026-01-08 07:32:35,Monthly Basic,24.95,,desktop,/search,2026-03-09 07:32:35,payment_failure,2026-01-02 06:00:00
sub_0000016,cus_0000016,vis_00000107,2026-01-01 08:17:11,,Monthly Basic,24.95,PS_BRAND,mobile,/search,2026-01-08 08:17:11,trial_canceled,2026-01-02 06:00:00
sub_0000002,cus_0000002,vis_00000009,2026-01-01 08:29:20,2026-01-08 08:29:20,Monthly Basic,24.95,PS_BRAND,desktop,/search,,,2026-01-02 06:00:00
sub_0000008,cus_0000008,vis_00000052,2026-01-01 08:40:43,,Monthly Basic,24.95,PS_BRAND,desktop,/search,2026-01-08 08:40:43,trial_canceled,2026-01-02 06:00:00
sub_0000038,cus_0000038,vis_00000248,2026-01-01 08:42:22,2026-01-08 08:42:22,Monthly Basic,24.95,PS_BRAND,mobile,/search,2026-05-08 08:42:22,payment_failure,2026-01-02 06:00:00
sub_0015832,cus_0015832,vis_00135910,2026-01-01 08:47:21,,Monthly Basic,24.95,,mobile,/,2026-01-08 08:47:21,trial_canceled,2026-01-02 06:00:00
sub_0000005,cus_0000005,vis_00000040,2026-01-01 08:56:16,,Monthly Plus,34.95,PS_BRAND,mobile,/search,2026-01-08 08:56:16,payment_failure,2026-01-02 06:00:00
sub_0015829,cus_0015829,vis_00135890,2026-01-01 09:08:11,2026-01-08 09:08:11,Monthly Plus,34.95,,desktop,/,2026-02-07 09:08:11,voluntary_churn,2026-01-02 06:00:00
sub_0000017,cus_0000017,vis_00000125,2026-01-01 09:11:52,,Monthly Plus,34.95,PS_BRAND,mobile,/search,2026-01-08 09:11:52,trial_canceled,2026-01-02 06:00:00
sub_0000021,cus_0000021,vis_00000153,2026-01-01 09:17:20,,Monthly Basic,24.95,PS_BRAND,desktop,/search,2026-01-08 09:17:20,payment_failure,2026-01-02 06:00:00
sub_0000030,cus_0000030,vis_00000199,2026-01-01 09:26:06,2026-01-08 09:26:06,Monthly Plus,34.95,PS_BRAND,desktop,/search,2026-06-07 09:26:06,voluntary_churn,2026-01-02 06:00:00
sub_0000037,cus_0000037,vis_00000247,2026-01-01 09:35:23,2026-01-08 09:35:23,Monthly Basic,24.95,PS_BRAND,mobile,/search,,,2026-01-02 06:00:00
sub_0000003,cus_0000003,vis_00000011,2026-01-01 09:37:26,,Monthly Basic,24.95,PS_BRAND,mobile,/search,2026-01-08 09:37:26,trial_canceled,2026-01-02 06:00:00
sub_0015831,cus_0015831,vis_00135904,2026-01-01 09:41:33,,Monthly Basic,24.95,,desktop,/,2026-01-08 09:41:33,payment_failure,2026-01-02 06:00:00
sub_0000012,cus_0000012,vis_00000082,2026-01-01 09:52:18,2026-01-08 09:52:18,Monthly Basic,24.95,PS_BRAND,tablet,/search,2026-04-08 09:52:18,payment_failure,2026-01-02 06:00:00
sub_0000022,cus_0000022,vis_00000158,2026-01-01 09:59:36,2026-01-08 09:59:36,Monthly Basic,24.95,PS_BRAND,desktop,/search,2026-03-09 09:59:36,voluntary_churn,2026-01-02 06:00:00
sub_0000050,cus_0000050,vis_00000341,2026-01-01 10:04:10,2026-01-08 10:04:10,Monthly Plus,34.95,PS_GENERIC,desktop,/people-search,2026-03-09 10:04:10,voluntary_churn,2026-01-02 06:00:00
sub_0000055,cus_0000055,vis_00000357,2026-01-01 10:17:10,,Monthly Basic,24.95,PS_GENERIC,desktop,/people-search,2026-01-08 10:17:10,trial_canceled,2026-01-02 06:00:00
sub_0000041,cus_0000041,vis_00000265,2026-01-01 10:33:09,2026-01-08 10:33:09,Monthly Basic,24.95,PS_BRAND,tablet,/search,2026-04-08 10:33:09,payment_failure,2026-01-02 06:00:00
