session_id,visitor_id,session_ts,campaign_id,utm_source,utm_medium,utm_campaign,click_id,landing_page,device_category,tracked_trial_event,source_updated_at
ses_00000392,vis_00000392,2026-01-01 07:00:40,PS_GENERIC,google,cpc,generic_search,gclid_0000000392,/people-search,mobile,False,2026-01-02 06:00:00
ses_00135876,vis_00135876,2026-01-01 07:01:50,,,,,,/,mobile,False,2026-01-02 06:00:00
ses_00000138,vis_00000138,2026-01-01 07:03:12,PS_BRAND,google,cpc,brand_search,gclid_0000000138,/search,desktop,False,2026-01-02 06:00:00
ses_00000069,vis_00000069,2026-01-01 07:03:28,PS_BRAND,google,cpc,brand_search,gclid_0000000069,/search,desktop,False,2026-01-02 06:00:00
ses_00000142,vis_00000142,2026-01-01 07:03:50,PS_BRAND,google,cpc,brand_search,gclid_0000000142,/search,mobile,False,2026-01-02 06:00:00
ses_00000164,vis_00000164,2026-01-01 07:03:57,PS_BRAND,google,cpc,brand_search,gclid_0000000164,/search,mobile,False,2026-01-02 06:00:00
ses_00135897,vis_00135897,2026-01-01 07:04:35,,,,,,/search,desktop,True,2026-01-02 06:00:00
ses_00000461,vis_00000461,2026-01-01 07:04:39,PS_GENERIC,google,cpc,generic_search,gclid_0000000461,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000675,vis_00000675,2026-01-01 07:06:04,PAID_SOCIAL,meta,paid_social,prospecting_social,,/discover,mobile,False,2026-01-02 06:00:00
ses_00000377,vis_00000377,2026-01-01 07:06:33,PS_GENERIC,google,cpc,generic_search,gclid_0000000377,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000633,vis_00000633,2026-01-01 07:08:21,PAID_SOCIAL,meta,paid_social,prospecting_social,fbclid_0000000633,/discover,mobile,False,2026-01-02 06:00:00
ses_00135927,vis_00135927,2026-01-01 07:08:33,,,,,,/search,mobile,False,2026-01-02 06:00:00
ses_00000437,vis_00000437,2026-01-01 07:08:51,PS_GENERIC,google,cpc,generic_search,gclid_0000000437,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000031,vis_00000031,2026-01-01 07:09:37,PS_BRAND,google,cpc,brand_search,gclid_0000000031,/search,desktop,False,2026-01-02 06:00:00
ses_00000307,vis_00000307,2026-01-01 07:11:05,PS_GENERIC,google,cpc,generic_search,gclid_0000000307,/people-search,mobile,False,2026-01-02 06:00:00
ses_00000055,vis_00000055,2026-01-01 07:11:07,PS_BRAND,google,cpc,brand_search,gclid_0000000055,/search,mobile,False,2026-01-02 06:00:00
